sciopero,"Labor strike or walkout, especially organized by a union",
figurati,'Don’t mention it' or 'Go figure' depending on context,Go figure
debole,Weak,ذبلان
pesante,"Heavy, burdensome",peso neto
smettere,"To stop, to quit",cease putting
sbattere,"To slam, beat, bang",
scappato,"Escaped, ran away",scappa! = run!
svolgere,"To carry out, develop, unfold",fate divulging events
percorso,"Route, path, journey",course/concourse
sciocco,"Silly, foolish",silly
scivolo,Slide or ramp,scivoloso = slippery
schivo,"Shy, reserved, introverted",!che schifo
brutta,Ugly (feminine),ugly
al grado,"To the degree, to the extent",at the grade/degree
gradevole,Pleasant,naturally appealing like a gradient?
spiacevole,"Unpleasant, disagreeable",! Piacevole/pleasant
bambola,Doll; metaphor for objectification,doll
bugia,"Lie, fib",lie
assaggiare,To taste / sample,sounds like assuage
noleggio,"Rental (vehicles, gear)",rental
affittare,"To rent (property, apartment)",
contadino,"Peasant, farmer",farmer
opposto,Opposite,opposite
scafato,"Experienced, street-smart",scuffed by experience
scalare,To climb,
spingere,To push,
volgere,To turn (something abstract),like revolve
volto,Face / turned aspect,revolved
volta,"Turn, time",
travolta,Overturned / overwhelmed,overturned
chiedere,To ask (for),
domandare,"To question, ask",
conoscere,To know (people/places),
sapere,"To know (facts, how to)",
voglio,I want,
desideri,Desires / wishes,the things I have decided I wish
poltrone,Armchair,
aula,Classroom/hall,sounds like hall/'haulla'/aula magna
scuola,School,
insegna,Sign / He/she teaches,
insegnare,To teach,
imparare,To learn,
benissimo,Very well,
buonissimo,Very good,
bene,Well,
buono,Good,
rivolgersi,To address or to turn to someone,
poltrona,Armchair OR lazy woman,Lazy Boy tho Different etymologies 
concorso,"Competition, contest, or 'shared contribution'",Figurative use: concorso di colpa
stretto,narrow,
ristretto,restricted/narrowed/tight,also an espresso shot
lottare,fighting/vying for,!lotto
lotto,raffle/lot/portion,
schifo,gross,!schivo
argento,Silver,
genere,Gender / type / genre,
genero,Son-in-law,
nuora,Daughter-in-law,
tratto,Feature / stretch / drawn element,
trattoria,Casual restaurant,
ostrica,Oyster,
ospite,Guest or host (contextual),
spesso,Often,often
speso,Spent (past participle),
spesa,Expense / groceries,
scendere,To go down,
salire,To go up,
esigenza,Requirement / urgency,exigency
impongo,I impose,
sfiga,Bad luck,jinx
spalla,Shoulder,
figura,Figure / impression,
famiglia,Family,
casa,Home / house,
corsa,Run / race,
corso,Course / avenue,
sono corso,I ran,
sto correndo,I'm running,
insegnami,Teach me,
grazie per essere venuto,Thanks for having come,
scivolare,To slip,
sbocciare,To bloom / blossom,
scappare,To escape / run away,
svegliarsi,To wake up (reflexive),
vestirsi,To get dressed (reflexive),
alzarsi,To get up (reflexive),
sentirsi,To feel (reflexive),
divertirsi,To have fun (reflexive),
lavarsi,To wash oneself (reflexive),
chiamarsi,To be named (reflexive),
mettersi,To put on (reflexive),
uscire,To go out,
rimanere,To remain,
diventare,To become,
correre,To run,
nuotare,To swim,
sperare,To hope,
credere,To believe,
ricordare,To remember,
dimenticare,To forget,
piacere,To like / to please,
odiare,To hate,
temere,To fear,
desiderare,To desire,
al solito,as usual,as 'usualito'
